Fecha,Hora,Latitud,Longitud,Profundidad,Magnitud,,,,,,,
08/09/2014,09:56:00,20.4905,-70.4576,49.59,3.26,,,,,,,
02/07/2014,02:32:44,20.4761,-70.931,29.2,3.42,,,,,,,
23/01/2014,02:24:30,20.4397,-70.541,81.26,3.16,,,,,,,    
23/05/2014,13:54:49,20.4326,-70.356,7.94,3.47,,,,,,,
30/10/2014,21:51:00,20.3851,-70.4396,33.27,3.28,,,,,,,
08/09/2014,10:10:00,20.3501,-70.2925,10.68,2.97,,,,,,,    
07/04/2014,03:14:17,20.3408,-70.703,33.94,3.83,,,,,,,
14/07/2014,01:23:37,20.317,-70.369,57.91,2.99,,,,,,,
04/07/2014,11:13:25,20.2905,-70.629,64.93,2.93,,,,,,,    
09/05/2014,01:29:48,20.277,-70.615,32.23,3.37,,,,,,,
20/08/2014,02:43:20,20.2741,-70.925,2,3.48,,,,,,,
29/12/2014,23:51:00,20.263,-70.207,20.06,2.9,,,,,,,
09/04/2014,09:32:03,20.2205,-72.213,70.89,3.44,,,,,,,
04/07/2014,04:21:43,20.1991,-70.275,44.19,3.23,,,,,,,
11/07/2014,00:24:00,20.1853,-71.818,2,3.72,,,,,,,
27/04/2014,08:19:44,20.1792,-71.672,37.24,3.16,,,,,,,
31/08/2014,20:15:00,20.1788,-70.3401,5.76,3.25,,,,,,,    
07/05/2014,08:53:49,20.1757,-70.616,18.53,3.08,,,,,,,
06/03/2014,04:19:26,20.1663,-70.206,28.32,3.26,,,,,,,
17/02/2014,10:24:43,20.1387,-70.619,0.67,3.54,,,,,,,
06/05/2014,00:24:09,20.1283,-70.858,3,3.16,,,,,,,
01/09/2014,15:55:00,20.1166,-70.2763,108.21,3.45,,,,,,,
01/12/2014,13:56:00,20.1158,-71.4805,35.9,3.06,,,,,,,
08/06/2014,08:16:35,20.1151,-70.865,28.57,3.03,,,,,,,    
15/07/2014,20:21:31,20.101,-72.279,76.27,3.81,,,,,,,
07/05/2014,22:36:12,20.0893,-71.008,8.32,2.56,,,,,,,
01/05/2014,22:20:45,20.0883,-70.636,97.88,3.39,,,,,,,    
09/06/2014,03:30:02,20.085,-70.556,49.56,2.93,,,,,,,
07/05/2014,19:09:55,20.0843,-70.986,2.32,2.83,,,,,,,
25/06/2014,08:09:11,20.0828,-71.141,3,3.28,,,,,,,
23/01/2014,01:02:32,20.0777,-70.864,3,3.4,,,,,,,
24/03/2014,13:31:26,20.0712,-71.119,101.9,3.82,,,,,,,
17/01/2014,21:21:53,20.0693,-70.135,35.45,3.69,,,,,,,
29/11/2014,09:33:00,20.069,-70.192,10,3.71,,,,,,,
08/07/2014,06:24:32,20.0683,-70.689,71.36,2.73,,,,,,,
03/12/2014,23:04:00,20.0541,-70.4541,4,3.3,,,,,,,
14/01/2014,12:26:23,20.0517,-71.031,1,3.39,,,,,,,    
20/11/2014,19:42:00,20.0496,-70.9725,40.86,3.16,,,,,,,
21/03/2014,22:19:04,20.0492,-70.368,24.49,3.36,,,,,,,
11/07/2014,01:19:36,20.0411,-70.369,20.5,2.98,,,,,,,
19/08/2014,15:51:37,20.0306,-71.05,121.53,3.57,,,,,,,
30/11/2014,08:48:00,20.0285,-70.8001,4.95,2.6,,,,,,,
16/06/2014,06:38:33,20.027,-71.264,15.63,2.07,,,,,,,    
02/06/2014,04:08:30,20.0205,-71.163,36.78,2.68,,,,,,,
26/09/2014,23:26:00,20.0143,-71.0196,10,2.52,,,,,,,    
15/07/2014,20:31:34,19.9983,-70.22,10.76,3.51,,,,,,,
15/07/2014,21:37:24,19.9966,-70.208,10.72,3.37,,,,,,,
01/01/2014,05:48:04,19.9948,-70.203,50.69,3.11,,,,,,,
14/03/2014,11:54:01,19.9933,-70.785,107.71,3.63,,,,,,,
22/01/2014,00:43:12,19.9902,-70.948,101.79,3.56,,,,,,,    
30/09/2014,11:01:00,19.9896,-71.2175,30.75,3.12,,,,,,,
30/09/2014,11:01:00,19.9896,-71.2175,30.75,3.12,,,,,,,
15/07/2014,17:16:56,19.9866,-70.175,10.44,3.37,,,,,,,
23/03/2014,20:49:35,19.9858,-70.973,110.51,3.5,,,,,,,
02/06/2014,08:56:04,19.9843,-71.174,36.5,2.73,,,,,,,
02/03/2014,20:05:12,19.9825,-71.094,61.73,3.55,,,,,,,
04/06/2014,01:31:19,19.9751,-71.215,28.5,2.98,,,,,,,
05/06/2014,04:15:18,19.9726,-72.668,89.89,3.41,,,,,,,
02/06/2014,05:20:08,19.9715,-71.233,23.87,3.17,,,,,,,    
24/03/2014,13:31:23,19.9642,-71.372,99.88,4.03,,,,,,,
06/05/2014,17:13:58,19.9638,-70.637,3,3.21,,,,,,,
16/06/2014,04:21:33,19.9626,-71.232,20.26,2.99,,,,,,,
02/06/2014,01:43:33,19.9613,-69.65,10.02,2.41,,,,,,,
02/06/2014,05:36:20,19.9576,-71.233,26.91,3.16,,,,,,,
04/03/2014,20:41:17,19.9533,-71.307,101.52,3.65,,,,,,,
10/06/2014,06:46:50,19.9528,-71.232,20,2.91,,,,,,,
24/10/2014,19:31:00,19.9518,-69.2286,24.81,2.49,,,,,,,
19/03/2014,07:29:21,19.9477,-70.308,5,2.95,,,,,,,
14/03/2014,03:32:09,19.9442,-70.356,108.77,3.74,,,,,,,
14/03/2014,03:32:09,19.9442,-70.356,108.77,3.74,,,,,,,
02/06/2014,03:35:16,19.944,-71.234,28.2,3.2,,,,,,,
01/02/2014,18:02:58,19.9438,-71.837,110.16,3.85,,,,,,,
14/03/2014,00:12:24,19.9423,-70.359,94.18,3.39,,,,,,,
04/07/2014,01:59:43,19.9416,-70.315,2.07,3.15,,,,,,,
02/06/2014,09:03:36,19.9413,-71.179,30.75,3.23,,,,,,,
24/03/2014,13:54:07,19.9407,-70.954,103.15,3.62,,,,,,,
18/11/2014,18:41:00,19.9381,-70.7031,40.69,3.65,,,,,,,
15/11/2014,01:59:00,19.938,-70.0428,53.86,3.51,,,,,,,
04/03/2014,17:17:41,19.9362,-71.411,97.19,3.68,,,,,,,
06/08/2014,17:56:18,19.929,-70.59,106.6,3.44,,,,,,,
29/04/2014,18:39:11,19.9283,-70.558,111.88,3.78,,,,,,,
15/01/2014,22:42:35,19.9253,-71.942,38.8,3.48,,,,,,,
08/08/2014,05:19:16,19.9123,-70.473,0.09,3.22,,,,,,,
02/06/2014,01:35:18,19.9095,-71.216,20.84,3.17,,,,,,,
10/06/2014,06:46:51,19.9025,-71.185,38.25,2.98,,,,,,,    
18/01/2014,13:04:40,19.899,-70.181,1.95,3.3,,,,,,,
02/06/2014,03:09:33,19.8903,-71.375,20.41,3.29,,,,,,,
23/05/2014,13:36:34,19.8878,-69.362,10,2.84,,,,,,,
03/06/2014,15:43:58,19.885,-71.264,10,3.26,,,,,,,
27/06/2014,07:12:02,19.8705,-71.161,47.64,3.04,,,,,,,
21/01/2014,18:23:31,19.8633,-70.437,116.75,3.71,,,,,,,
11/04/2014,12:23:36,19.8507,-69.124,20.14,3.19,,,,,,,
25/09/2014,01:50:00,19.848,-70.7381,48.47,3.35,,,,,,,
18/08/2014,21:27:53,19.8401,-68.425,9.85,3.33,,,,,,,
02/06/2014,01:07:04,19.8336,-71.035,5.38,3.22,,,,,,,
30/11/2014,23:04:00,19.8303,-69.9771,8.04,3.23,,,,,,,
20/01/2014,11:18:15,19.8262,-70.06,66.9,2.96,,,,,,,
20/11/2014,19:42:00,19.8183,-71.2045,4.9,3,,,,,,,    
25/09/2014,01:50:00,19.8181,-70.7231,40.22,3.44,,,,,,,
11/01/2014,08:54:21,19.8175,-69.769,15.17,3.03,,,,,,,
10/07/2014,19:46:21,19.8163,-70.436,103.23,3.65,,,,,,,
18/05/2014,17:27:29,19.8151,-70.422,8.99,3.57,,,,,,,
03/06/2014,21:49:20,19.815,-71.222,2.15,3.4,,,,,,,
14/07/2014,18:30:28,19.8015,-70.47,109.61,3.59,,,,,,,
20/05/2014,04:10:40,19.8011,-69.982,41.4,2.88,,,,,,,
28/01/2014,21:44:02,19.8007,-68.43,6.7,3.06,,,,,,,    
18/07/2014,10:11:43,19.7985,-70.437,3,3.55,,,,,,,    
08/07/2014,19:55:08,19.7975,-68.775,10.12,3.08,,,,,,,
13/02/2014,20:19:34,19.7968,-70.402,43.26,3.11,,,,,,,
28/11/2014,21:45:00,19.7905,-68.9726,67.96,3.33,,,,,,,    
16/12/2014,02:50:00,19.7901,-70.0445,47.53,3.45,,,,,,,
13/05/2014,04:35:02,19.7886,-69.809,76.1,3.41,,,,,,,
31/03/2014,10:25:29,19.7873,-70.812,6.05,3.13,,,,,,,
02/06/2014,04:21:40,19.7796,-70.665,20.07,2.22,,,,,,,
24/01/2014,23:42:27,19.7703,-68.873,20.16,2.79,,,,,,,
09/06/2014,01:24:17,19.7675,-71.037,20,3.17,,,,,,,
08/09/2014,08:21:00,19.7663,-71.8126,31.77,2.79,,,,,,,
26/02/2014,21:58:14,19.762,-70.813,4.21,3.34,,,,,,,
14/03/2014,08:03:29,19.7598,-70.424,3.8,3.05,,,,,,,
08/09/2014,08:21:00,19.7516,-71.7815,13.35,2.78,,,,,,,
10/11/2014,19:48:00,19.746,-70.0123,5,3.47,,,,,,,
03/06/2014,21:19:56,19.7387,-70.672,10.69,2.8,,,,,,,
17/12/2014,08:10:00,19.7371,-71.2185,32.87,3.26,,,,,,,
27/04/2014,05:09:15,19.7327,-70.085,57.73,3.3,,,,,,,
11/07/2014,00:36:40,19.7313,-70.107,14.19,3.02,,,,,,,
30/04/2014,19:26:05,19.731,-71.096,3.15,3.79,,,,,,,
20/12/2014,03:03:00,19.7303,-71.0345,0,3.33,,,,,,,
05/11/2014,01:38:00,19.729,-69.992,45.3,3.15,,,,,,,
18/09/2014,21:30:00,19.7261,-69.9166,79.84,3.32,,,,,,,
14/04/2014,06:14:17,19.7223,-69.911,30.16,2.75,,,,,,,
02/06/2014,02:08:48,19.72,-70.741,11.25,2.14,,,,,,,
22/11/2014,10:21:00,19.7185,-71.2228,10,2.94,,,,,,,
31/01/2014,13:06:56,19.7165,-68.637,9.18,3.03,,,,,,,
25/04/2014,05:49:40,19.7158,-69.543,10,3.32,,,,,,,
14/03/2014,08:19:44,19.7138,-70.758,8.11,3.86,,,,,,,
02/06/2014,00:38:03,19.7138,-71.27,39.51,3.14,,,,,,,
17/12/2014,07:22:00,19.7128,-71.1495,49.02,2.56,,,,,,,
05/03/2014,04:53:03,19.7128,-71.753,41.63,3.13,,,,,,,
17/06/2014,00:08:24,19.7098,-71.41,12.49,2.4,,,,,,,
09/08/2014,16:56:24,19.7088,-70.662,13.25,3.24,,,,,,,
29/01/2014,23:59:10,19.7078,-69.782,91.16,3.37,,,,,,,    
05/11/2014,02:05:00,19.7078,-69.9818,41.67,3.23,,,,,,,    
20/06/2014,23:34:31,19.7076,-70.791,6.11,3.23,,,,,,,
19/08/2014,07:37:36,19.707,-68.096,38.08,3.73,,,,,,,
31/01/2014,02:15:41,19.7047,-69.497,10.89,3.22,,,,,,,
14/03/2014,08:12:01,19.7038,-70.584,4.34,3.66,,,,,,    ,
21/05/2014,14:56:24,19.7033,-71.243,47.37,2.94,,,,,,,
16/05/2014,13:55:45,19.7026,-69.663,11.92,3.05,,,,,,,
13/05/2014,18:41:19,19.6978,-69.437,21.64,3.17,,,,,,,
17/12/2014,07:37:00,19.697,-71.2346,50.02,3.08,,,,,,,    
03/06/2014,21:51:24,19.6965,-70.773,11.71,2.37,,,,,,,
26/03/2014,01:45:01,19.6958,-71.191,21.61,2.79,,,,,,,
09/06/2014,12:16:33,19.6945,-69.355,0.84,3.08,,,,,,,
23/02/2014,01:49:20,19.6937,-69.85,76.39,3.46,,,,,,,
16/10/2014,14:12:00,19.6928,-70.5803,16.24,1.79,,,,,,,
02/06/2014,01:01:21,19.6905,-71.261,24.05,4.03,,,,,,,
02/04/2014,14:16:03,19.6858,-71.393,8.1,3.05,,,,,,,
16/06/2014,07:42:06,19.6758,-68.955,38.92,3.14,,,,,,,
15/07/2014,19:44:08,19.6746,-68.855,9.64,3.12,,,,,,,
18/01/2014,09:05:42,19.6745,-70.013,120.82,3.29,,,,,,,
19/09/2014,15:55:00,19.6708,-68.888,8.83,3.21,,,,,,,
14/05/2014,03:00:48,19.6701,-69.558,10.75,3,,,,,,,
01/02/2014,20:50:39,19.67,-70.918,0,3.28,,,,,,,    
11/06/2014,13:40:09,19.6686,-71.54,20,2.66,,,,,,,
02/06/2014,02:28:05,19.6675,-70.794,12.2,2.14,,,,,,,
23/02/2014,04:21:18,19.667,-69.748,98.18,3.14,,,,,,,    
30/01/2014,09:08:43,19.6648,-69.485,20,3.1,,,,,,,
27/04/2014,10:40:17,19.6648,-70.325,41.15,3.18,,,,,,,
06/01/2014,21:37:45,19.6615,-69.716,25.48,3.31,,,,,,,
21/07/2014,21:03:04,19.657,-68.575,15.13,3.13,,,,,,,
14/03/2014,06:25:38,19.6568,-70.913,105.26,3.58,,,,,,,
23/02/2014,21:22:58,19.6537,-70.731,5,3.96,,,,,,,    
17/12/2014,07:42:00,19.6536,-71.1241,42.44,2.51,,,,,,,
21/12/2014,07:14:00,19.6505,-69.5983,0,3.11,,,,,,,
13/11/2014,12:24:00,19.6483,-70.8096,10,3.03,,,,,,,
28/06/2014,22:09:47,19.6466,-69.229,9.8,3.1,,,,,,,    
02/06/2014,04:47:00,19.6456,-69.733,75.16,3.34,,,,,,,
17/07/2014,22:59:53,19.6456,-72.101,6.5,3.38,,,,,,,
03/02/2014,06:17:42,19.6455,-70.897,0.81,3.27,,,,,,,
24/04/2014,13:39:32,19.645,-69.495,10.97,2.97,,,,,,,
23/02/2014,21:19:02,19.6443,-70.701,0,3.05,,,,,,,
16/10/2014,13:34:00,19.6416,-69.6941,10.1,2.11,,,,,,,
18/08/2014,19:56:57,19.6396,-70.477,11.51,3.17,,,,,,,
23/12/2014,15:51:00,19.6366,-68.0666,8.8,3.54,,,,,,,
17/12/2014,08:50:00,19.6353,-70.0215,23.3,3.16,,,,,,,    
17/12/2014,08:21:00,19.6343,-71.105,41.35,2.64,,,,,,,    
30/12/2014,11:36:00,19.63,-69.9558,57.47,3.13,,,,,,,
01/08/2014,12:47:29,19.6278,-69.296,10.28,3.29,,,,,,,
25/06/2014,11:54:51,19.627,-69.893,4.46,2.76,,,,,,,
06/05/2014,13:59:56,19.6248,-71.066,19.92,3.12,,,,,,,
25/05/2014,21:05:09,19.619,-70.244,0,3.27,,,,,,,
07/03/2014,06:16:22,19.615,-67.714,24.87,4.01,,,,,,,
20/11/2014,14:24:00,19.613,-70.6076,25.84,3.33,,,,,,,
06/03/2014,22:19:26,19.6122,-67.742,21.52,3.18,,,,,,,
03/12/2014,02:10:00,19.6118,-70.8076,47.74,2.74,,,,,,,
05/02/2014,02:18:56,19.6048,-70.654,20,3,,,,,,,
26/08/2014,23:13:00,19.6035,-68.9818,9.42,3.02,,,,,,,
28/02/2014,19:58:30,19.6035,-71.132,114.11,3.6,,,,,,,
29/11/2014,04:31:00,19.602,-69.6553,33.46,3.3,,,,,,,
01/08/2014,01:27:10,19.598,-69.929,9.61,3.03,,,,,,,
05/11/2014,01:35:00,19.5955,-70.1456,11.16,3.15,,,,,,,
08/05/2014,11:25:28,19.5938,-70.371,82.29,3.33,,,,,,,
19/05/2014,12:09:45,19.5888,-68.81,10.39,2.94,,,, ,,,
18/07/2014,01:37:18,19.5851,-70.914,90.83,3.41,,,,,,,
26/06/2014,15:18:28,19.582,-69.791,10.22,2.55,,,,,,,
09/01/2014,16:17:58,19.58,-67.87,34.71,3.58,,,,,,,
28/05/2014,22:58:30,19.5798,-69.413,10.9,3.03,,,,,,,
16/01/2014,07:41:45,19.5767,-69.237,9.97,3.11,,,,,,,
09/03/2014,22:02:43,19.5757,-67.789,24.3,3.64,,,,,,,
03/12/2014,02:10:00,19.5741,-70.8243,34.39,2.71,,,,,,,
25/04/2014,09:02:17,19.5705,-69.832,12.23,3.03,,,,,,,
24/01/2014,07:38:23,19.57,-69.397,29.16,2.77,,,,,,,
12/08/2014,12:21:43,19.5691,-71.273,31.7,3.16,,,,,,,
04/06/2014,13:11:26,19.5681,-69.845,4.46,1.97,,,,,,,
13/05/2014,12:22:40,19.5647,-68.497,10.21,3.04,,,,,,,
10/11/2014,05:16:00,19.5645,-70.066,3.14,,,,,,,,
16/05/2014,12:58:43,19.5636,-68.97,95.22,3.26,,,,,,,
05/06/2014,17:48:31,19.5623,-69.888,0.21,3.41,,,,,,,
09/04/2014,11:50:26,19.561,-70.317,20.69,2.76,,,,,,,
14/03/2014,08:26:46,19.5608,-70.815,3.6,3,,,,,,,
23/02/2014,21:22:58,19.5608,-70.851,69.93,3.81,,,,,,,
27/07/2014,23:41:22,19.5605,-68.861,8.86,3.24,,,,,,,
06/01/2014,12:12:40,19.5602,-68.278,24.96,3.46,,,, ,,,
02/07/2014,20:42:24,19.5578,-69.178,58.82,3.16,,,,,,,
16/12/2014,02:50:00,19.5578,-70.1896,44.9,3.41,,,,,,,    
09/06/2014,11:55:00,19.5575,-69.792,6.18,2.24,,,,,,,
25/03/2014,20:04:37,19.5572,-68.244,9.56,2.86,,,,,,,    
09/06/2014,09:02:31,19.5566,-68.972,9.45,3.21,,,,,,,
07/04/2014,19:39:43,19.5542,-68.823,10.6,2.88,,,,,,,
21/08/2014,13:12:04,19.5528,-69.825,9.16,3.13,,,,,,,
26/04/2014,14:19:53,19.5506,-70.315,0,3.51,,,,,,,
08/03/2014,09:35:37,19.5477,-67.958,39.55,3.78,,,,,,,
07/05/2014,00:30:46,19.5443,-71.19,43.84,3.47,,,,,,,
08/03/2014,06:34:24,19.5428,-68.017,65.94,4.05,,,,,,,
19/06/2014,07:12:30,19.5428,-69.83,2,3.04,,,,,,,
07/08/2014,20:41:54,19.5426,-68.187,9.04,3.16,,,,,,,
12/01/2014,11:16:24,19.541,-68.813,10.51,3,,,,,,,
23/05/2014,01:24:22,19.536,-69.44,11.21,2.86,,,,,,,
08/03/2014,03:50:22,19.5345,-67.97,24.86,3.99,,,,,,,
12/02/2014,13:18:32,19.5292,-68.97,9.51,3.13,,,,,,,    
10/12/2014,12:46:00,19.5235,-69.902,16.96,3.26,,,,,,,
21/05/2014,01:33:16,19.5193,-70.474,29.11,3.14,,,,,,,
17/12/2014,07:23:00,19.5188,-71.0613,12.64,2.37,,,,,,,
12/12/2014,07:24:00,19.5186,-69.749,13.01,3.34,,,,,,,
15/09/2014,12:44:00,19.5181,-69.7741,3.19,1.96,,,,,,,
20/01/2014,12:33:12,19.5155,-69.19,24.5,3.23,,,,,,,
29/11/2014,08:33:00,19.5121,-69.3621,7.11,3.27,,,,,,,
25/08/2014,17:36:00,19.5093,-70.458,15.64,2.73,,,,,,,
12/08/2014,04:57:28,19.509,-70.364,34.86,2.83,,,,,,,
15/04/2014,09:49:00,19.5065,-70.388,10,3.2,,,,,,,
17/12/2014,08:20:00,19.5065,-71.0503,12.46,2.32,,,,,,,
09/06/2014,07:00:39,19.5043,-69.787,10.81,2.57,,,,,,,
17/07/2014,00:40:40,19.5028,-68.843,10.45,3.1,,,,,,,
22/01/2014,21:39:32,19.5027,-68.634,9.13,3.04,,,,,,,
16/10/2014,12:58:00,19.5018,-71.0698,5,2.37,,,,,,,
01/09/2014,21:18:00,19.4966,-68.0868,20.2,3.31,,,,,,,
17/12/2014,07:22:00,19.4946,-71.032,11.87,2.5,,,,,,,
21/05/2014,01:58:46,19.493,-70.514,16.54,3.09,,,,,,,
28/07/2014,22:44:24,19.4903,-68.91,31.93,3.11,,,,,,,
24/03/2014,14:19:35,19.4893,-70.806,3,3.47,,,,,,,
24/02/2014,15:19:32,19.4862,-70.848,91.53,3.82,,,,,,,
22/04/2014,15:15:13,19.486,-68.783,10.37,3.01,,,,,,,    
24/04/2014,08:57:40,19.482,-69.491,10,2.97,,,,,,,    
27/06/2014,16:00:24,19.4803,-68.675,3.5,3.4,,,,,,,
21/05/2014,15:14:00,19.4743,-70.755,10.01,2.57,,,,,,,
17/06/2014,00:18:31,19.4728,-67.869,24.83,3.58,,,,,,,
03/01/2014,07:01:41,19.4698,-67.902,24.82,3.68,,,,,,,
21/08/2014,04:14:25,19.4685,-70.329,0.47,2.68,,,,,,,
18/11/2014,02:26:00,19.4683,-70.4613,10,3.17,,,,,,,
21/05/2014,02:45:38,19.4676,-70.527,18.81,2.94,,,,,,,
23/05/2014,20:22:55,19.4643,-68.829,10.75,2.98,,,,,,,
14/07/2014,06:03:54,19.4638,-69.722,5.87,3.21,,,,,,,
05/08/2014,01:25:04,19.4638,-70.177,20.28,3.18,,,,,,,
17/11/2014,17:20:00,19.4598,-70.4258,3.71,3.27,,,,,,,
15/04/2014,23:54:53,19.4583,-68.834,10.8,2.93,,,,,,,
09/07/2014,03:23:16,19.4578,-67.945,8.66,3.27,,,,,,,
23/05/2014,08:51:15,19.456,-69.153,49.24,3.08,,,,,,,
17/06/2014,23:58:04,19.4533,-69.077,7.27,2.74,,,,,,,
09/05/2014,13:16:27,19.4522,-68.959,0,3.07,,,,,,,
11/03/2014,07:30:11,19.4508,-71.256,73.19,3,,,,,,,
10/04/2014,00:24:23,19.4502,-69.274,9.96,2.91,,,,,,,
18/12/2014,14:16:00,19.45,-68.1623,10.32,3.07,,,,,,,
14/07/2014,16:26:27,19.4488,-70.027,26.13,3.01,,,,,,,
03/03/2014,05:57:35,19.4472,-68.903,20,3.46,,,,,,,
18/03/2014,06:10:08,19.4453,-69.285,9.96,3.15,,,,,,,
19/11/2014,01:52:00,19.4448,-67.8158,23.85,3.41,,,,,,,
07/03/2014,13:13:29,19.4433,-67.957,12.05,3.19,,,,,,,
09/08/2014,15:27:35,19.4431,-70.545,16.83,4.43,,,,,,,
05/01/2014,17:45:12,19.443,-69.195,13.53,3.4,,,,,,,
10/02/2014,11:22:45,19.4397,-67.963,24.67,3.15,,,,,,,    
22/07/2014,01:07:59,19.4355,-69.243,9.87,2.93,,,,,,,    
02/07/2014,14:01:18,19.4335,-67.846,11.17,3.54,,,,,,,
29/07/2014,01:20:05,19.4308,-67.825,67.88,3.85,,,,,,,
05/07/2014,00:50:10,19.4298,-68.955,65.21,3.42,,,,,,,    
20/01/2014,04:24:14,19.4272,-71.096,30,2.87,,,,,,,
23/02/2014,18:31:25,19.4268,-70.929,113.78,3.52,,,,,,,
26/12/2014,11:55:00,19.4245,-70.4911,2.76,2.97,,,,,,,
15/06/2014,01:17:32,19.424,-70.062,65.22,2.71,,,,,,,
23/05/2014,18:37:38,19.4195,-69.087,9.15,2.58,,,,,,,
14/08/2014,13:54:31,19.4096,-67.97,4.44,3.39,,,,,,,
04/07/2014,04:31:16,19.4025,-69.507,90,3.13,,,,,,,    
04/06/2014,10:30:12,19.4011,-69.17,24.79,2.11,,,,,,,
08/01/2014,04:26:39,19.398,-68.963,1.28,3.21,,,,,,,
09/08/2014,15:13:21,19.3961,-70.597,18.76,3.54,,,,,,,
07/05/2014,16:00:07,19.3957,-68.256,24.72,3.33,,,,,,,
28/06/2014,11:34:57,19.3951,-69.217,75.01,3.91,,,,,,,
29/06/2014,13:14:34,19.3926,-69.675,71.52,2.92,,,,,,,
10/02/2014,06:17:32,19.3903,-68.352,88.77,3.32,,,,,,,
09/12/2014,23:35:00,19.3845,-70.9225,98.15,2.86,,,,,,,
29/04/2014,16:38:54,19.3833,-68.852,79.44,3.31,,,,,,,
10/11/2014,11:47:00,19.3831,-70.0908,11.54,3.34,,,,,,,
20/02/2014,03:35:44,19.3793,-67.895,30.38,3.56,,,,,,,
04/06/2014,12:21:09,19.377,-69.654,20.7,3.07,,,,,,,
16/08/2014,00:17:00,19.3705,-68.616,9.16,3,,,,,,,
23/07/2014,00:41:59,19.3683,-69.436,38.34,2.27,,,,,,,
23/07/2014,00:41:59,19.3683,-69.436,38.34,2.27,,,,,,,
24/04/2014,09:07:37,19.3657,-69.603,65,3.18,,,,,,,
24/03/2014,07:47:26,19.365,-69.813,64.62,3.02,,,,,,,
20/06/2014,15:10:04,19.3587,-71.011,93.7,3.16,,,,,,,
23/07/2014,00:42:00,19.3533,-69.441,33.12,3.11,,,,,,,
07/09/2014,15:27:00,19.353,-69.4396,10,2.41,,,,,,,
17/01/2014,14:56:53,19.353,-69.745,0.19,2.47,,,,,,,
10/03/2014,17:31:53,19.352,-67.695,24.96,3.34,,,,,,,
03/06/2014,06:05:28,19.3436,-69.654,84.36,2.1,,,,,,,
24/09/2014,02:23:00,19.341,-69.1648,12.59,2.25,,,,,,,
10/03/2014,15:47:18,19.3368,-67.765,38.33,4.06,,,,,,,
29/06/2014,05:21:21,19.3316,-71.235,78.02,2.86,,,,,,,
17/04/2014,08:01:07,19.3278,-68.673,51.25,3.27,,,,,,,
08/05/2014,21:21:53,19.3271,-69.081,13.51,3.21,,,,,,,
23/09/2014,02:16:00,19.327,-72.3756,7,3,,,,,,,
14/08/2014,19:51:35,19.3206,-68.388,2.37,2.94,,,,,,,
28/08/2014,18:26:00,19.3198,-69.8923,87.12,3.39,,,,,,,
03/01/2014,10:14:54,19.3147,-67.954,74.18,4.15,,,,,,,
14/03/2014,08:10:15,19.3142,-71.067,56.72,3.31,,,,,,,
13/01/2014,08:06:31,19.314,-68.069,10.67,3.01,,,,,,,
03/03/2014,17:46:42,19.3105,-68.95,104.94,3.15,,,,,,,
11/10/2014,09:25:00,19.2978,-69.4,9.18,3.08,,,,,,,
04/03/2014,10:21:56,19.2948,-69.372,63.21,3.19,,,,,,,
21/09/2014,14:05:00,19.2938,-69.6983,10,4.14,,,,,,,
